Source,Title,Description,Content,Published At,URL
Biztoc.com,Coffee Prices Slip as Rain in Brazil Eases Drought Concerns,"Investment Tools And Research To Help Make You A More Confident And Profitable Trader.
FREE 30 Day Trial
- Market Pulse
-
- Options Market Overview
- Unusual Options Activity
- IV Rank and IV Percentile
- Implied vs Realized Vol
- Most Active Options
- Highes…",Investment Tools And Research To Help Make You A More Confident And Profitable Trader.FREE 30 Day Trial- Market Pulse-- Options Market Overview- Unusual Options Activity- IV Rank and IV Percentile- I… [+134 chars],2024-12-30T19:28:53Z,https://biztoc.com/x/6687a439dda559fa
Biztoc.com,Coffee Prices Fall as Brazil Drought Concerns Ease,"Jump-Start Your Search For Promising Trade Ideas With Barchart Premier’s ""Top Stock Pick"".
FREE 30 Day Trial
- Market Pulse
-
- Options Market Overview
- Unusual Options Activity
- IV Rank and IV Percentile
- Implied vs Realized Vol
- Most Active Options
- Hi…","Jump-Start Your Search For Promising Trade Ideas With Barchart Premiers ""Top Stock Pick"".FREE 30 Day Trial- Market Pulse-- Options Market Overview- Unusual Options Activity- IV Rank and IV Percentile… [+129 chars]",2024-12-31T17:06:32Z,https://biztoc.com/x/e2b23d4f2c83f206
Naturalnews.com,Global food prices are entering very dangerous territory,"What in the world is going to happen if global food supplies continue to get even tighter?  During the second half of this year global food prices have been surging.  A “perfect storm” of factors is suppressing production all over the planet, and meanwhile wo…",What in the world is going to happen if global food supplies continue to get even tighter?  During the second half of this year global food prices have been surging.  A perfect storm of factors is su… [+5942 chars],2024-12-13T06:00:00Z,https://www.naturalnews.com/2024-12-13-global-food-prices-entering-very-dangerous-territory.html
Forbes,"3 Ways To Explore Cartagena, Colombia’s Hub For Caribbean Culture","From world-class hotels to refined restaurants to fascinating museums, the Colombian city of Cartagena truly has it all.","Cartagena, Colombia was named in honor of a prominent port city in Spain's Murcia region.
getty
While the interior of Colombia draws visitors in droves thanks to its towering mountains and lush cof… [+5508 chars]",2024-12-15T18:39:27Z,https://www.forbes.com/sites/jaredranahan/2024/12/15/3-ways-to-explore-cartagena-colombias-hub-for-caribbean-culture/
Forbes,Quit Your Job And Live Abroad: 11 Places So Affordable You Might Not Need To Work,Looking for the most affordable places to live in 2025? Two new reports showcase 11 destinations that offer low living costs and a high quality of life.,"The Peloponnese region of Greece is one of the most affordable places to live in 2025. Pictured here: the coastal village of Limeni.
getty
Looking for the most affordable places to live? Or even be… [+14403 chars]",2025-01-01T16:16:03Z,https://www.forbes.com/sites/laurabegleybloom/2025/01/01/quit-your-job-and-live-abroad-11-places-so-affordable-you-might-not-need-to-work/
Mental Floss,10 Winter Solstice Celebrations From Around the World,"Cultures around the world performed rituals on the winter solstice for the return of the sun. While some of these celebrations have been left in the past or absorbed into other winter festivities, others are still celebrated to this day.","The shortest day of the year (which falls on December 21 in 2024) tends to get some people down, but in centuries past the lack of sunlight wasnt merely the cause of winter bluesthe season also broug… [+11629 chars]",2024-12-18T17:02:00Z,https://www.mentalfloss.com/winter-solstice-celebrations
Forbes,Midwest Brewery Helps Launch 20 Beverage Brands,A Chicago and Milwaukee brewing company brews its own beers and helped launch 20 other beverage brands.,"Craft beer is the lure at the tasting room of Pilot Project Brewing in Milwaukee.
Pilot Project Brewing
Its rare to hear about a brewing company thats modeled after the music industry. Thats how Da… [+3322 chars]",2024-12-22T13:00:00Z,https://www.forbes.com/sites/garystoller/2024/12/22/midwest-brewery-helps-launch-20-beverage-brands/
The New Yorker,Are Ultra-Processed Foods Killing Us?,"Studies have linked them to obesity, diabetes, depression, and even dementia. Dhruv Khullar reports on a revolution in nutrition science that aims to fix America’s deadly diet.","Until recently, Guillaume Raineri, a forty-two-year-old man with a bald head and a bushy goatee, worked as an HVAC technician in Gonesse, a small town about ten miles north of Paris. The area lends i… [+12178 chars]",2025-01-06T11:00:00Z,https://www.newyorker.com/magazine/2024/01/13/why-is-the-american-diet-so-deadly
Biztoc.com,Coffee Prices Jump as Heavy Rain in Vietnam Delays the Robusta Coffee Harvest,"UNLIMITED Watchlists, Portfolios, Screeners, and other Barchart tools with Barchart Premier.
FREE 30 Day Trial
- Market Pulse
-
- Options Market Overview
- Unusual Options Activity
- IV Rank and IV Percentile
- Implied vs Realized Vol
- Most Active Options
- …","UNLIMITED Watchlists, Portfolios, Screeners, and other Barchart tools with Barchart Premier.FREE 30 Day Trial- Market Pulse-- Options Market Overview- Unusual Options Activity- IV Rank and IV Percent… [+132 chars]",2025-01-02T17:08:39Z,https://biztoc.com/x/794de44298a4f252
Scientific American,9 Space Images from NASA and Beyond That Stunned in 2024,"See the year’s most striking images from the Hubble and James Webb space telescopes, NASA’s Mars rover and the best sky watching on offer","The end of 2024 is approaching, marking another full loop around the sun for our planet. So Scientific American is here to celebrate with nine of our favorite space-related images from the year. In c… [+9438 chars]",2024-12-19T11:30:00Z,https://www.scientificamerican.com/article/9-space-images-from-nasa-and-beyond-that-stunned-in-2024/
CNA,The Waves That Changed Us: 20 years since the Asian tsunami,"CNA returns to ground zero of countries devastated by the 2004 Indian Ocean tsunami that killed more than 230,000 people. Visiting Indonesia, Malaysia, Thailand, India and Sri Lanka, we find out what's changed two decades on.","On the morning of Dec 26, 2004, tectonic plates collided. The resulting 9.1-magnitude quake raised the seafloor so significantly that it lifted the global sea level by an estimated 0.1 of a millimetr… [+16319 chars]",2024-12-26T01:01:41Z,https://www.channelnewsasia.com/interactive/tsunami-anniversary-waves-that-changed-us/
Observer,Weathering the Market: Why Climate Data Is the Future of Commodity Trading,"The global commodity market is more volatile than ever, with weather-driven price swings rivaling those of cryptocurrencies.","Adapting to this climate-driven reality means thinking like a meteorologistand turning risks into rewards. Getty Images
The world of finance is developing very rapidly today. New technologies appear… [+4432 chars]",2024-12-26T13:00:39Z,https://observer.com/2024/12/how-weather-data-is-revolutionizing-commodity-trading/
Forbes,"City Guide: Bologna, Italy According To The Best Tour Guides","From tortellini to the best gelato in town, find out were to eat and drink in Bologna, Italy, according to the the best tour guides.","Tortellini in brodo on a Taste Bologna tour. 
Taste Bologna 
Bologna, Italy, is one of my favorite cities in the country when it comes to gastronomy. The entire Emilia-Romagna region is home to man… [+5914 chars]",2024-12-20T20:16:48Z,https://www.forbes.com/sites/jennrice/2024/12/20/city-guide-bologna-italy-according-to-the-best-tour-guides/
CNN,Christ the Redeemer caught in battle between church and state...,"Perched high atop Corcovado Mountain, the Cristo Redentor, as Brazilians call it, is a postcard not only for the city of Rio de Janeiro but for the entire country. But now, its management and future are at the center of a growing debate over religion, conserv…","Perched high atop Corcovado Mountain, Christ the Redeemer is more than a religious symbol or tourist attraction its an enduring icon of Brazilian identity. The Cristo Redentor, as Brazilians call it,… [+6570 chars]",2024-12-25T20:04:37Z,https://www.cnn.com/2024/12/25/americas/brazil-christ-redeemer-statue-intl-latam/index.html
Dailycoffeenews.com,Em Coffee House Brings Modern Vietnam to San Diego,"The owners of the San Diego-based Ding Tea bubble tea chain expanded earlier this fall with a cafe concept that celebrates Vietnamese coffee called Em Coffee House. Opened Nov. 18,...","Inside the new Em Coffee House in Mira Mesa, San Diego. All images courtesy of Em Coffee House.
The owners of the San Diego-based Ding Tea bubble tea chain expanded earlier this fall with a cafe con… [+3130 chars]",2024-12-18T14:25:47Z,https://dailycoffeenews.com/2024/12/18/em-coffee-house-brings-modern-vietnam-to-san-diego/
Shtfplan.com,Global Food Prices Are Entering Very Dangerous Territory,"What in the world is going to happen if global food supplies continue to get even tighter?  During the second half of this year, global food prices have been surging.  A “perfect storm” of factors is suppressing production all over the planet, and meanwhile, …","This article was originally published by Michael Snyder at The Economic Collapse Blog. 
What in the world is going to happen if global food supplies continue to get even tighter?  During the second … [+7269 chars]",2024-12-13T13:30:36Z,https://www.shtfplan.com/headline-news/global-food-prices-are-entering-very-dangerous-territory
Ozbargain.com.au,"Bolivia, Peru Single Origins, 1kg from $27.90 + Delivery ($0 with $69 Order, $0 C&C, Delayed Disp Avail) @ Lime Blue Coffee","Hey Oz Bargain Community,

Happy New Year!

Keeping this one short and sweet for you to kick off our first Oz Bargain deal post in 2025:)

We're offering you a 40% discount off our deliciously sweet Peru Chanchamayo Grade 1 Organic Single Origin and our super…","Hey Oz Bargain Community,
Happy New Year!
Keeping this one short and sweet for you to kick off our first Oz Bargain deal post in 2025:)
We're offering you a 40% discount off our deliciously sweet … [+3384 chars]",2025-01-08T20:08:33Z,https://www.ozbargain.com.au/node/888136
Anchorage Daily News,"Torpedo juice: Legendary, illegal WWII liquor drunk in Alaska and the world","Named for the 180-proof ethyl alcohol that powered American torpedoes, the concoction was consumed throughout the Navy and beyond.","Fighter pilots at an Aleutian party circa 1943. (National Archives photograph) 
Part of a continuing weekly series on Alaska history by local historian David Reamer. Have a question about Anchorage … [+22426 chars]",2024-12-17T03:28:18Z,https://www.adn.com/alaska-life/2024/12/15/torpedo-juice-the-legendary-illegal-world-war-ii-liquor-drunk-in-alaska-and-across-the-world/
[Removed],[Removed],[Removed],[Removed],2025-01-08T06:00:00Z,https://removed.com
Biztoc.com,Coffee Prices Settle Mixed as Arabica Supported by Dryness in Brazil,"UNLIMITED Watchlists, Portfolios, Screeners, and other Barchart tools with Barchart Premier.
FREE 30 Day Trial
- Market Pulse
-
- Options Market Overview
- Unusual Options Activity
- IV Rank and IV Percentile
- Implied vs Realized Vol
- Most Active Options
- …","UNLIMITED Watchlists, Portfolios, Screeners, and other Barchart tools with Barchart Premier.FREE 30 Day Trial- Market Pulse-- Options Market Overview- Unusual Options Activity- IV Rank and IV Percent… [+132 chars]",2024-12-18T19:50:23Z,https://biztoc.com/x/ae4bb5de26a6875a
Dailycoffeenews.com,"Vietnam, IDH and JDE Peet’s Partner in Landmark EUDR Database Project","A public-private partnership involving the world’s second-largest coffee producer, Vietnam, is resulting in a nationwide database system for forests and coffee-growing areas. Led by the partnership-focused sustainable agriculture nonprofit IDH,...","IDH news release photo.
A public-private partnership involving the world’s second-largest coffee producer, Vietnam, is resulting in a nationwide database system for forests and coffee-growing areas.… [+2543 chars]",2024-12-19T17:47:25Z,https://dailycoffeenews.com/2024/12/19/vietnam-idh-and-jde-peets-partner-in-landmark-eudr-database-project/
Dailycoffeenews.com,Pony Coffee Gallops Into Tulsa with First Cafe,"A new coffee roasting company called Pony Coffee is showing itself in Tulsa, with its first cafe in a landmark building in Riverview.  The coffee shop that opened in October...","Inside the new Pony Coffee shop in Tulsa, Oklahoma. All images courtesy of Pony Coffee.
A new coffee roasting company called Pony Coffee is showing itself in Tulsa, with its first cafe in a landmark… [+3682 chars]",2025-01-09T14:51:57Z,https://dailycoffeenews.com/2025/01/09/pony-coffee-gallops-into-tulsa-with-first-cafe/
Cupofjo.com,My Essential Christmas Dessert Is Flan,"Flan is pure nostalgia for me. My Tex-Mex mom made it often, blending all the milk and eggs in a blender, agonizing over the caramel, and then shrieking if it unmolded with a crack in the center.… Read more 
The post My Essential Christmas Dessert Is Flan app…","Flan is pure nostalgia for me. My Tex-Mex mom made it often, blending all the milk and eggs in a blender, agonizing over the caramel, and then shrieking if it unmolded with a crack in the center. Kid… [+5603 chars]",2024-12-18T19:41:14Z,https://cupofjo.com/2024/12/18/best-flan-recipe/
USA Today,Starbucks debuts Cortados for first time: See 2025 winter drink menu,"A cortado is made with a 1:1 ratio of espresso and steamed milk. Starbucks' Cortado is made with ristretto shots, which are more concentrated.","Move aside, Peppermint Mocha. Starbucks is gearing up for a new, limited-edition winter menu, in addition to a new staple.
Starbucks, for the first time, will begin offering Cortados on Friday. Typi… [+4985 chars]",2025-01-02T20:43:25Z,https://www.usatoday.com/story/money/food/2025/01/02/starbucks-winter-menu-2025-cortado/77407406007/
Liveandletsfly.com,10 New Countries I Hope To Visit In 2025,"I fell far short of the goal in 2023 and again in 2024, but I’m setting what I hope will be an achievable goal in 2025: visit 10 countries I have not previously visited… 10 New Countries For 2025 As I focus on the more important matters of my family, cultivat…","I fell far short of the goal in 2023 and again in 2024, but Im setting what I hope will be an achievable goal in 2025: visit 10 countries I have not previously visited…
10 New Countries For 2025
As… [+2979 chars]",2025-01-02T13:23:31Z,https://liveandletsfly.com/10-new-countries-2025/
BusinessLine,Beneath the canopy: The economic and environmental impact of shade-grown coffee in India,"Discover the benefits of shade-grown coffee in India, promoting biodiversity, soil health, and sustainable farming practices.","As Indias coffee industry evolves, sustainable practices are becoming more widespread. One approach gaining significant traction is shade-grown coffee, where coffee is cultivated under the natural ca… [+5564 chars]",2024-12-21T06:07:25Z,https://www.thehindubusinessline.com/economy/agri-business/beneath-the-canopy-the-economic-and-environmental-impact-of-shade-grown-coffee-in-india/article69011923.ece
BusinessLine,Beneath the canopy: The economic and environmental impact of shade-grown coffee in India,"Discover the benefits of shade-grown coffee in India, promoting biodiversity, soil health, carbon sequestration, and farmer income.","As Indias coffee industry continues to evolve, sustainable practices are becoming more widespread. One approach gaining significant traction is shade-grown coffee, where coffee is cultivated under th… [+5577 chars]",2024-12-15T05:00:00Z,https://www.thehindubusinessline.com/economy/agri-business/beneath-the-canopy-the-economic-and-environmental-impact-of-shade-grown-coffee-in-india/article68986228.ece
BusinessLine,"Indian coffee gains from surging trend in global prices, outlook seen bright","Indian coffee sector benefits from global price surge, exports rise, but production challenges persist; sustainability and innovation key for future.","The Indian coffee sector benefitted to a great extent from the surging trend in global prices during 2024, which was largely driven by the tight supplies from large producers such as Brazil and Vietn… [+4833 chars]",2024-12-30T12:39:49Z,https://www.thehindubusinessline.com/economy/agri-business/indian-coffee-gains-from-surging-trend-in-global-prices-outlook-seen-bright/article69043349.ece
Liveandletsfly.com,Review: Garuda Indonesia International Lounge Jakarta (CGK),"Let me be blunt: the Garudia Indonesia International Lounge in Jakarta (CGK), also called the Executive Lounge, is a sorry excuse for a lounge from a five-star carrier at its main hub of operation. Your best is to visit the nearby Plaza Premium Lounge, also i…","Let me be blunt: the Garudia Indonesia International Lounge in Jakarta (CGK), also called the Executive Lounge, is a sorry excuse for a lounge from a five-star carrier at its main hub of operation. Y… [+4018 chars]",2025-01-06T07:27:41Z,https://liveandletsfly.com/garuda-indonesia-executive-lounge-jakarta-review/
Dailycoffeenews.com,Best of ‘Three Questions’ 2024: Conversations with Coffee Leaders,"Continuing our 2024 Year in Review, here are some highlights from our ongoing “Three Questions With” series, which features people doing amazing work in all corners of the coffee world. ...","Continuing our 2024 Year in Review, here are some highlights from our ongoing “Three Questions With” series, which features people doing amazing work in all corners of the coffee world. 
For all the… [+3216 chars]",2024-12-24T15:01:57Z,https://dailycoffeenews.com/2024/12/24/best-of-three-questions-2024-conversations-with-coffee-leaders/
Lifesciencesworld.com,What is the food of brazil?,"What is the Food of Brazil? Brazil, the largest country in both South America and the Latin American region, is […]
The post What is the food of brazil? appeared first on Life Sciences World.","What is the Food of Brazil?
Brazil, the largest country in both South America and the Latin American region, is renowned for its diverse and vibrant culinary scene. With a rich cultural heritage and… [+4055 chars]",2025-01-07T08:01:34Z,https://lifesciencesworld.com/what-is-the-food-of-brazil/
Plos.org,Individual and community-level determinants of knowledge of obstetric danger signs among women in Southern Ethiopia: A multi-level mixed effect negative binomial analysis,"Introduction One of the key strategies to achieve the sustainable development goal by reducing maternal deaths below 70 per 100,000 is improving knowledge of obstetric danger signs (ODS). However, mothers’ knowledge of ODS is low in general and very low in ru…","Abstract
Introduction
One of the key strategies to achieve the sustainable development goal by reducing maternal deaths below 70 per 100,000 is improving knowledge of obstetric danger signs (ODS). … [+42880 chars]",2025-01-06T14:00:00Z,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0314916
The Star Online,Ipoh folk expect more visitors next year,IPOH: Local folk here are excited to learn that Ipoh has been named as one of the must-visit cities in Asia for 2025 by London-based lifestyle magazine Time Out recently. Read full story,"IPOH: Local folk here are excited to learn that Ipoh has been named as one of the must-visit cities in Asia for 2025 by London-based lifestyle magazine Time Out recently.
Those who spoke to The Star… [+3415 chars]",2024-12-30T23:00:00Z,https://www.thestar.com.my/news/nation/2024/12/31/ipoh-folk-expect-more-visitors-next-year
Liveandletsfly.com,Review: Plaza Premium Lounge Jakarta (CGK),"I loved the Plaza Premium Lounge in Jakarta (CGK) Terminal 3, which offers a tranquil environment with a wide selection of food and drink as well as excellent coffee. Plaza Premium Lounge Jakarta Review (CGK) If you are looking for the best lounge at CGK, loo…","I loved the Plaza Premium Lounge in Jakarta (CGK) Terminal 3, which offers a tranquil environment with a wide selection of food and drink as well as excellent coffee.
Plaza Premium Lounge Jakarta Re… [+3091 chars]",2025-01-06T09:18:20Z,https://liveandletsfly.com/plaza-premium-lounge-jakarta-review/
Whyevolutionistrue.com,Monday: Hili dialogue,"Welcome to the first Monday of 2025, January 6, 2025. For many it is Back to Work Day, but it’s also National Shortbread Day, a great treat (is it counted as a “biscuit” in the UK), and good for dipping in tea or coffee? I have seen them in rectangles (“finge…","Welcome to the first Monday of 2025, January 6, 2025. For many it is Back to Work Day, but it’s also National Shortbread Day, a great treat (is it counted as a “biscuit” in the UK), and good for dipp… [+18330 chars]",2025-01-06T12:45:23Z,https://whyevolutionistrue.com/2025/01/06/monday-hili-dialogue-499/
Experimental-history.com,The end is nigh and here's why,OR: Good Cup Bad Cup,"In fourteen hundred and ninety-two, Columbus sailed the ocean bluebecause he thought the apocalypse was coming.
Like many of his contemporaries, Columbus believed that the Earth was supposed to last… [+16202 chars]",2024-12-18T18:55:18Z,https://www.experimental-history.com/p/the-end-is-nigh-and-heres-why
Homedsgn.com,Canopy House: The Brazilian Jungle Home That Touches the Sky,"Nestled in the heart of a tropical forest in Brazil, surrounded by towering trees and vibrant life, the superb Canopy House rises above the ground.","Nestled in the heart of a lush tropical forest in Brazil, surrounded by towering trees and vibrant life, the superb Canopy House rises high above the ground to provide magical views of its green surr… [+4928 chars]",2025-01-01T21:31:10Z,https://www.homedsgn.com/canopy-house-the-brazilian-jungle-home-that-touches-the-sky/
NPR,"S. Korea President, Texas Lawsuit Over Abortion Pills, Coffee Prices Soar",South Korea's parliament impeached President Yoon Suk Yeol for his attempt to impose martial law on the democracy. Texas Attorney General Ken Paxton sued a New York doctor for prescribing abortion medication to a Dallas-area woman.  A drought in Brazil has ca…,South Korea's parliament impeached President Yoon Suk Yeol for his attempt to impose martial law on the democracy. Texas Attorney General Ken Paxton sued a New York doctor for prescribing abortion me… [+129 chars],2024-12-14T15:21:53Z,https://www.npr.org/2024/12/14/1219283976/up-first-12-14-2024
Globalresearch.ca,The Glaring Hypocrisy and Embedded Deceptions of the Global Food Giants,"Bryce Martinez (18) from Pennsylvania is mounting a legal challenge against major food companies, alleging that their ultra-processed foods (UPFs) led to his development of Type 2 diabetes and fatty liver disease at the age of 16.  
The 11 firms …
The post Th…","Bryce Martinez (18) from Pennsylvania is mounting a legal challenge against major food companies, alleging that their ultra-processed foods (UPFs) led to his development of Type 2 diabetes and fatty … [+11034 chars]",2024-12-29T18:19:41Z,https://www.globalresearch.ca/deceptions-global-food-giants/5875934
Dailycoffeenews.com,25 New Coffee Roasters to Support in 2025,"This year, dozens of new facilities dedicated to roasting specialty coffee opened across the United States. While some are led by seasoned industry veterans and others by newcomers, nearly all...","This year, dozens of new facilities dedicated to roasting specialty coffee opened across the United States. While some are led by seasoned industry veterans and others by newcomers, nearly all the bu… [+9723 chars]",2024-12-30T16:03:08Z,https://dailycoffeenews.com/2024/12/30/25-new-coffee-roasters-to-support-in-2025/
Livemint,"China, Vietnam and Hong Kong may spring surprises in 2025","Global eyes will turn east for good reason. Under watch will be Hong Kong tycoons, China’s recovery attempt, Chinese business ambitions (and luxury demand) and the impact of Trump’s policies on ‘plus one’ exporter Vietnam.","From Chinas stock rout to the unwind of the yen-funded carry trade, whose participants, according to some, eat like a bird and poop like a cow,"" 2024 was full of surprises.
No one expects 2025 to be… [+4429 chars]",2024-12-24T09:30:01Z,https://www.livemint.com/opinion/online-views/china-vietnam-and-hong-kong-may-spring-surprises-in-2025-luckin-coffee-stock-market-geopolitics-global-order-11734934736934.html
Forbes,Bold Deal Turns Out To Be Major Boon For Bill Heinecke’s Minor International,"Thai tycoon’s purchase of NH Hotel Group in 2018 made him a major player in hospitality just a year before Covid slammed the industry, but with travel rebounding he is reaping the benefits and putting his energy into global expansion.","By Ron Gluckman, Forbes Contributor
Just over a year after buying Madrid-based NH Hotel Group in October 2018 for 2.3 billion ($2 billion at the time) and transforming his Thailand-based Minor Inter… [+14505 chars]",2024-12-13T01:30:09Z,https://www.forbes.com/sites/rgluckman/2024/12/12/bold-deal-turns-out-to-be-major-boon-for-bill-heineckes-minor-international/
